user_id,age,birth_month,birth_year,gender,address,city,state,zipcode,latitude,longitude,yearly_income,num_credit_cards
0,53,11,1966,Female,462 Rose Lane,La Verne,CA,91750,34.15,-117.76,59696.0,5
1,53,12,1966,Female,3606 Federal Boulevard,Little Neck,NY,11363,40.76,-73.74,77254.0,5
2,81,11,1938,Female,766 Third Drive,West Covina,CA,91792,34.02,-117.89,33483.0,5
3,63,1,1957,Female,3 Madison Street,New York,NY,10069,40.71,-73.99,249925.0,4
4,43,9,1976,Male,9620 Valley Stream Drive,San Francisco,CA,94117,37.76,-122.44,109687.0,1
5,42,10,1977,Male,58 Birch Lane,Davenport,IA,52803,41.55,-90.60,41997.0,3
6,36,12,1983,Female,5695 Fifth Street,Louisville,KY,40299,38.22,-85.74,51500.0,3
7,26,12,1993,Male,1941 Ninth Street,Portland,OR,97214,45.51,-122.64,54623.0,1
8,81,7,1938,Female,11 Spruce Avenue,Telford,PA,18969,40.32,-75.32,42509.0,5
9,34,1,1986,Female,887 Grant Street,Abbeville,LA,70510,29.97,-92.12,38190.0,1
10,27,6,1992,Male,888 Fifth Lane,Fair Oaks,CA,95628,38.65,-121.25,56164.0,2
11,29,9,1990,Female,8677 Littlewood Lane,Greeley,CO,80634,40.42,-104.74,45727.0,1
12,18,1,2002,Female,829 Fourth Boulevard,Cranston,RI,02921,41.76,-71.48,69149.0,1
13,34,10,1985,Male,74786 Jefferson Drive,Traverse City,MI,49686,44.75,-85.60,41442.0,3
14,48,5,1971,Female,781 East Street,San Antonio,TX,78207,29.45,-98.50,20513.0,1
15,41,4,1978,Female,40 Washington Drive,Boise City,OK,73933,36.73,-102.51,23123.0,6
16,54,1,1966,Male,3994 Hillside Drive,Henderson,TX,75652,32.15,-94.79,36497.0,6
17,76,8,1943,Female,172 Birch Street,Flagstaff,AZ,86004,35.29,-111.32,27484.0,4
18,22,11,1997,Male,8145 Spruce Boulevard,Charlotte,NC,28269,35.19,-80.83,53995.0,3
19,66,10,1953,Male,153 Tenth Lane,Tucson,AZ,85711,32.21,-110.88,35602.0,5
20,28,8,1991,Male,2473 Lake Avenue,Helena,GA,31037,32.07,-82.91,25122.0,3
21,18,1,2002,Male,970 Essex Drive,Portola Valley,CA,94028,37.37,-122.21,216740.0,2
22,76,6,1943,Male,9186 Washington Avenue,Cleveland,OH,44134,41.47,-81.67,41109.0,2
23,70,4,1949,Male,5073 Wessex Avenue,Tyronza,AR,72386,35.49,-90.35,26858.0,2
24,45,1,1975,Male,195 Eighth Boulevard,Central Point,OR,97502,42.39,-122.93,34929.0,1
25,36,8,1983,Female,801 Mill Boulevard,Mesa,AZ,85201,33.44,-111.85,34317.0,3
26,40,4,1979,Female,6914 Wessex Avenue,Houston,TX,77061,29.76,-95.38,31377.0,2
27,37,9,1982,Male,776 Norfolk Boulevard,Van Nuys,CA,91411,34.17,-118.46,43638.0,1
28,41,11,1978,Male,2015 Bayview Avenue,Cookeville,TN,38501,36.15,-85.50,32531.0,2
29,37,2,1983,Female,108 Washington Street,Whites Creek,TN,37189,36.28,-86.83,42120.0,4
30,18,5,2001,Male,660 Seventh Drive,Columbus,OH,43230,39.98,-82.98,57281.0,1
31,49,9,1970,Male,7505 Tenth Boulevard,Miami,FL,33175,25.77,-80.20,38390.0,4
32,33,9,1986,Female,4930 Birch Drive,Southport,NC,28461,33.92,-78.02,35670.0,2
33,21,9,1998,Female,93 Plum Lane,Old Saybrook,CT,06475,41.29,-72.36,61746.0,2
34,47,11,1972,Female,837 Lincoln Avenue,Mobile,AL,36693,30.68,-88.04,43496.0,3
35,41,8,1978,Male,7467 Spruce Drive,Sacramento,CA,95829,38.48,-121.34,51854.0,2
36,51,4,1968,Female,6323 Sussex Boulevard,Chula Vista,CA,91911,32.61,-117.03,34540.0,5
37,46,11,1973,Male,8738 Fourth Street,Hanover Park,IL,60133,41.97,-88.14,41287.0,1
38,46,10,1973,Male,9344 Mill Drive,Seaside,CA,93955,36.62,-121.82,38054.0,1
39,59,2,1961,Female,299 11th Street,Northborough,MA,01532,42.31,-71.64,80371.0,1
40,91,2,1929,Female,5492 Maple Drive,Overland Park,KS,66221,38.90,-94.68,84694.0,7
41,79,2,1941,Male,829 Birch Boulevard,Corpus Christi,TX,78410,27.80,-97.39,37503.0,5
42,57,12,1962,Male,41011 Seventh Boulevard,Chandler,AZ,85226,33.27,-111.94,65357.0,4
43,26,1,1994,Female,613 Little Creek Lane,Immokalee,FL,34142,26.41,-81.42,22066.0,1
44,42,11,1977,Male,1942 Rose Avenue,Port Orange,FL,32128,29.10,-81.00,44681.0,3
45,26,2,1994,Male,5101 Birch Lane,Maryland Heights,MO,63043,38.72,-90.47,51306.0,1
46,18,2,2002,Female,7 11th Drive,San Antonio,TX,78210,29.45,-98.50,25847.0,1
47,60,11,1959,Female,2468 Spruce Drive,Longwood,FL,32750,28.70,-81.34,46683.0,5
48,61,11,1958,Male,8001 Essex Boulevard,Milwaukee,WI,53210,43.06,-87.96,31579.0,3
49,47,10,1972,Male,708 George Street,Camilla,GA,31730,31.22,-84.21,28055.0,3
50,42,12,1977,Female,28 Hillside Boulevard,Canton,MI,48188,42.30,-83.48,65403.0,4
51,55,11,1964,Female,446 Birch Drive,La Follette,TN,37766,36.37,-84.12,27572.0,1
52,48,12,1971,Female,578 Maple Avenue,Inman,SC,29349,35.05,-82.09,38539.0,3
53,41,7,1978,Female,14 Valley Drive,Poca,WV,25159,38.47,-81.81,38059.0,2
54,59,11,1960,Female,2475 Little Creek Boulevard,Leander,TX,78641,30.56,-97.86,52754.0,5
55,45,2,1975,Male,9604 Catherine Drive,Rego Park,NY,11374,40.72,-73.86,51196.0,4
56,26,7,1993,Male,349 First Drive,Atlanta,GA,30318,33.78,-84.44,49713.0,1
57,21,4,1998,Female,7914 Essex Boulevard,Toledo,OH,43623,41.66,-83.58,44160.0,3
58,46,5,1973,Female,524 Ocean Drive,Houston,TX,77056,29.76,-95.38,193773.0,1
59,41,2,1979,Female,2079 Maple Drive,Mount Union,PA,17066,40.38,-77.88,29864.0,2
60,22,7,1997,Male,295 Valley Drive,San Antonio,TX,78232,29.45,-98.50,57367.0,2
61,63,2,1957,Female,2883 Ocean View Boulevard,Black Diamond,WA,98010,47.32,-121.99,56635.0,8
62,44,3,1975,Male,5125 Elm Drive,Ogden,UT,84414,41.31,-111.96,47227.0,4
63,22,10,1997,Male,4098 Park Drive,Fort Worth,TX,76115,32.75,-97.33,24574.0,3
64,29,1,1991,Female,892 Spruce Street,Saint Albans,NY,11412,40.69,-73.75,43397.0,2
65,28,6,1991,Female,9977 Oak Avenue,Oxford,MD,21654,38.68,-76.17,58105.0,3
66,82,6,1937,Male,79 South Boulevard,Gonzales,TX,78629,29.50,-97.44,10869.0,2
67,90,6,1929,Female,145 River Drive,Allentown,PA,18102,40.59,-75.47,19893.0,3
68,63,8,1956,Male,7605 Essex Boulevard,Mount Vernon,OH,43050,40.39,-82.47,36743.0,2
69,49,7,1970,Female,480 Seventh Lane,Trenton,NJ,08610,40.22,-74.76,46377.0,3
70,36,10,1983,Female,5506 Fifth Boulevard,Gardena,CA,90248,33.88,-118.27,50179.0,1
71,30,11,1989,Male,136 Spruce Street,Petaluma,CA,94955,38.22,-122.55,54537.0,4
72,23,12,1996,Male,306 First Drive,Apopka,FL,32712,28.68,-81.51,49255.0,2
73,42,10,1977,Male,272 Burns Boulevard,Summit Argo,IL,60501,41.77,-87.82,31031.0,7
74,65,1,1955,Male,190 Sixth Drive,Rockwall,TX,75032,32.92,-96.45,70673.0,4
75,87,10,1932,Female,8569 Wessex Boulevard,Birmingham,AL,35211,33.52,-86.79,16342.0,5
76,22,9,1997,Male,385 Lexington Boulevard,Seminole,TX,79360,32.71,-102.65,30961.0,1
77,58,3,1961,Female,407 Park Lane,Islandton,SC,29929,32.90,-80.93,30305.0,3
78,30,3,1989,Male,5142 Little Creek Street,Edmond,OK,73034,35.67,-97.41,68784.0,4
79,25,8,1994,Female,224 Mountain View Boulevard,Kalispell,MT,59901,48.19,-114.38,34745.0,4
80,18,11,2001,Female,4735 Fifth Avenue,Baton Rouge,LA,70808,30.44,-91.12,64715.0,3
81,59,2,1961,Female,4793 North Street,Mars,PA,16046,40.69,-80.01,80464.0,3
82,18,2,2002,Female,72 El Camino Boulevard,Pittsburgh,PA,15220,40.43,-79.97,49748.0,1
83,61,11,1958,Male,381 Fifth Lane,Ontario,CA,91764,34.07,-117.62,41904.0,4
84,54,9,1965,Female,393 Mountain View Lane,Newport Coast,CA,92657,33.60,-117.82,196784.0,3
85,27,3,1992,Female,293 Wessex Street,Northville,MI,48168,42.40,-83.60,100837.0,2
86,32,6,1987,Male,7276 Fourth Drive,Fenton,MI,48430,42.80,-83.71,51654.0,4
87,64,6,1955,Female,327 Lafayette Boulevard,Lancaster,OH,43130,39.72,-82.59,38088.0,2
88,18,8,2001,Male,2846 Lake Avenue,Welsh,LA,70591,30.23,-92.81,36866.0,2
89,52,9,1967,Male,2093 Ocean Street,Oakland,CA,94606,37.78,-122.24,37607.0,5
90,49,10,1970,Female,981 Fifth Boulevard,Fort Morgan,CO,80701,40.26,-103.79,34480.0,1
91,43,1,1977,Male,18 Norfolk Boulevard,Madison,WI,53716,43.07,-89.38,48279.0,2
92,36,7,1983,Male,977 Littlewood Avenue,Panama City,FL,32401,30.17,-85.67,32896.0,2
93,18,6,2001,Male,993 Mountain View Avenue,Perris,CA,92570,33.78,-117.33,29909.0,2
94,37,12,1982,Female,896 Rose Street,Minneapolis,MN,55433,44.96,-93.26,47464.0,1
95,23,5,1996,Female,2418 Mill Drive,San Jose,CA,95129,37.30,-122.00,85128.0,1
96,54,9,1965,Male,3683 Fifth Street,Mount Holly,NC,28120,35.30,-81.03,45852.0,2
97,33,7,1986,Female,0 Elm Street,Glendale,AZ,85301,33.53,-112.18,26556.0,2
98,63,11,1956,Female,2302 Catherine Lane,Hollywood,FL,33024,26.02,-80.16,40194.0,6
99,22,2,1998,Male,213 Rose Drive,Irving,TX,75038,32.85,-96.96,62135.0,2
